Year,Country / territory of asylum/residence,Origin,Population type,Value
2017,Denmark,Congo,Refugees (incl. refugee-like situations),*
2017,Denmark,Colombia,Refugees (incl. refugee-like situations),*
2017,Denmark,Djibouti,Refugees (incl. refugee-like situations),*
2017,Denmark,Algeria,Refugees (incl. refugee-like situations),*
2017,Denmark,Egypt,Refugees (incl. refugee-like situations),16
2017,Denmark,Eritrea,Refugees (incl. refugee-like situations),4006
2017,Denmark,Ethiopia,Refugees (incl. refugee-like situations),94
2017,Denmark,Georgia,Refugees (incl. refugee-like situations),*
2017,Denmark,Ghana,Refugees (incl. refugee-like situations),*
2017,Denmark,Guinea,Refugees (incl. refugee-like situations),*
2017,Denmark,Gambia,Refugees (incl. refugee-like situations),*
2017,Denmark,Guinea-Bissau,Refugees (incl. refugee-like situations),*
2017,Denmark,Guatemala,Refugees (incl. refugee-like situations),*
2017,Denmark,India,Refugees (incl. refugee-like situations),5
2017,Denmark,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),3107
2017,Denmark,Iraq,Refugees (incl. refugee-like situations),661
2017,Denmark,Jordan,Refugees (incl. refugee-like situations),*
2017,Denmark,Kazakhstan,Refugees (incl. refugee-like situations),*
2017,Denmark,Kenya,Refugees (incl. refugee-like situations),6
2017,Denmark,Kyrgyzstan,Refugees (incl. refugee-like situations),5
2017,Denmark,Rep. of Korea,Refugees (incl. refugee-like situations),*
2017,Denmark,Kuwait,Refugees (incl. refugee-like situations),*
2017,Denmark,Lebanon,Refugees (incl. refugee-like situations),26
2017,Denmark,Libya,Refugees (incl. refugee-like situations),11
2017,Denmark,Sri Lanka,Refugees (incl. refugee-like situations),71
2017,Denmark,Morocco,Refugees (incl. refugee-like situations),8
2017,Denmark,Mali,Refugees (incl. refugee-like situations),*
2017,Denmark,Myanmar,Refugees (incl. refugee-like situations),45
2017,Denmark,Mauritania,Refugees (incl. refugee-like situations),*
2017,Denmark,Nigeria,Refugees (incl. refugee-like situations),12
2017,Denmark,Nepal,Refugees (incl. refugee-like situations),7
2017,Denmark,Pakistan,Refugees (incl. refugee-like situations),58
2017,Denmark,Peru,Refugees (incl. refugee-like situations),*
2017,Denmark,Dem. People's Rep. of Korea,Refugees (incl. refugee-like situations),9
2017,Denmark,Palestinian,Refugees (incl. refugee-like situations),24
2017,Denmark,Russian Federation,Refugees (incl. refugee-like situations),1029
2017,Denmark,Rwanda,Refugees (incl. refugee-like situations),20
2017,Denmark,Saudi Arabia,Refugees (incl. refugee-like situations),*
2017,Denmark,Sudan,Refugees (incl. refugee-like situations),77
2017,Denmark,Sierra Leone,Refugees (incl. refugee-like situations),*
2017,Denmark,El Salvador,Refugees (incl. refugee-like situations),*
2017,Denmark,Somalia,Refugees (incl. refugee-like situations),1292
2017,Denmark,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),*
2017,Denmark,Syrian Arab Rep.,Refugees (incl. refugee-like situations),19221
2017,Denmark,Chad,Refugees (incl. refugee-like situations),*
2017,Denmark,Thailand,Refugees (incl. refugee-like situations),*
2017,Denmark,Tajikistan,Refugees (incl. refugee-like situations),5
2017,Denmark,Tunisia,Refugees (incl. refugee-like situations),*
2017,Denmark,Turkey,Refugees (incl. refugee-like situations),*
2017,Denmark,United Rep. of Tanzania,Refugees (incl. refugee-like situations),*
2017,Denmark,Uganda,Refugees (incl. refugee-like situations),75
2017,Denmark,Ukraine,Refugees (incl. refugee-like situations),26
2017,Denmark,Uzbekistan,Refugees (incl. refugee-like situations),11
2017,Denmark,Stateless,Refugees (incl. refugee-like situations),2676
2017,Denmark,Various/Unknown,Refugees (incl. refugee-like situations),30
2017,Denmark,Yemen,Refugees (incl. refugee-like situations),*
2017,Denmark,Zambia,Refugees (incl. refugee-like situations),*
2017,Denmark,Zimbabwe,Refugees (incl. refugee-like situations),13
2017,Dominican Rep.,Afghanistan,Refugees (incl. refugee-like situations),*
2017,Dominican Rep.,Colombia,Refugees (incl. refugee-like situations),*
2017,Dominican Rep.,Ecuador,Refugees (incl. refugee-like situations),5
2017,Dominican Rep.,Haiti,Refugees (incl. refugee-like situations),574
2017,Dominican Rep.,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),*
2017,Dominican Rep.,Iraq,Refugees (incl. refugee-like situations),*
2017,Dominican Rep.,Nigeria,Refugees (incl. refugee-like situations),*
2017,Dominican Rep.,Syrian Arab Rep.,Refugees (incl. refugee-like situations),*
2017,Dominican Rep.,Ukraine,Refugees (incl. refugee-like situations),*
2017,Algeria,Afghanistan,Refugees (incl. refugee-like situations),*
2017,Algeria,Burundi,Refugees (incl. refugee-like situations),*
2017,Algeria,Central African Rep.,Refugees (incl. refugee-like situations),43
2017,Algeria,Côte d'Ivoire,Refugees (incl. refugee-like situations),39
2017,Algeria,Cameroon,Refugees (incl. refugee-like situations),16
2017,Algeria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),47
2017,Algeria,Congo,Refugees (incl. refugee-like situations),*
2017,Algeria,Western Sahara,Refugees (incl. refugee-like situations),90000
2017,Algeria,Guinea,Refugees (incl. refugee-like situations),*
2017,Algeria,Iraq,Refugees (incl. refugee-like situations),13
2017,Algeria,Liberia,Refugees (incl. refugee-like situations),*
2017,Algeria,Libya,Refugees (incl. refugee-like situations),19
2017,Algeria,Mali,Refugees (incl. refugee-like situations),34
2017,Algeria,Nigeria,Refugees (incl. refugee-like situations),*
2017,Algeria,Palestinian,Refugees (incl. refugee-like situations),4014
2017,Algeria,Sudan,Refugees (incl. refugee-like situations),*
2017,Algeria,Senegal,Refugees (incl. refugee-like situations),*
2017,Algeria,Somalia,Refugees (incl. refugee-like situations),*
2017,Algeria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),8
2017,Algeria,Chad,Refugees (incl. refugee-like situations),*
2017,Algeria,Togo,Refugees (incl. refugee-like situations),5
2017,Algeria,Yemen,Refugees (incl. refugee-like situations),5
2017,Ecuador,Afghanistan,Refugees (incl. refugee-like situations),94
2017,Ecuador,Angola,Refugees (incl. refugee-like situations),*
2017,Ecuador,Albania,Refugees (incl. refugee-like situations),6
2017,Ecuador,Argentina,Refugees (incl. refugee-like situations),*
2017,Ecuador,Armenia,Refugees (incl. refugee-like situations),*
2017,Ecuador,Azerbaijan,Refugees (incl. refugee-like situations),*
2017,Ecuador,Burundi,Refugees (incl. refugee-like situations),*
2017,Ecuador,Bangladesh,Refugees (incl. refugee-like situations),*
2017,Ecuador,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),*
2017,Ecuador,Belarus,Refugees (incl. refugee-like situations),*
2017,Ecuador,Brazil,Refugees (incl. refugee-like situations),*
2017,Ecuador,Chile,Refugees (incl. refugee-like situations),*
2017,Ecuador,China,Refugees (incl. refugee-like situations),12
2017,Ecuador,Côte d'Ivoire,Refugees (incl. refugee-like situations),*
2017,Ecuador,Cameroon,Refugees (incl. refugee-like situations),*
2017,Ecuador,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),*
2017,Ecuador,Congo,Refugees (incl. refugee-like situations),*
2017,Ecuador,Colombia,Refugees (incl. refugee-like situations),46616
2017,Ecuador,Cuba,Refugees (incl. refugee-like situations),212
2017,Ecuador,Germany,Refugees (incl. refugee-like situations),*
2017,Ecuador,Dominican Rep.,Refugees (incl. refugee-like situations),*
2017,Ecuador,Eritrea,Refugees (incl. refugee-like situations),11
2017,Ecuador,Western Sahara,Refugees (incl. refugee-like situations),*
2017,Ecuador,Spain,Refugees (incl. refugee-like situations),*
2017,Ecuador,Ethiopia,Refugees (incl. refugee-like situations),*
2017,Ecuador,Ghana,Refugees (incl. refugee-like situations),*
2017,Ecuador,Guinea,Refugees (incl. refugee-like situations),9
2017,Ecuador,Guinea-Bissau,Refugees (incl. refugee-like situations),*
2017,Ecuador,Haiti,Refugees (incl. refugee-like situations),21
2017,Ecuador,India,Refugees (incl. refugee-like situations),*
2017,Ecuador,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),23
2017,Ecuador,Iraq,Refugees (incl. refugee-like situations),35
2017,Ecuador,Jamaica,Refugees (incl. refugee-like situations),*
2017,Ecuador,Kyrgyzstan,Refugees (incl. refugee-like situations),*
2017,Ecuador,Lebanon,Refugees (incl. refugee-like situations),*
2017,Ecuador,Liberia,Refugees (incl. refugee-like situations),*
2017,Ecuador,Sri Lanka,Refugees (incl. refugee-like situations),14
2017,Ecuador,Lithuania,Refugees (incl. refugee-like situations),*
2017,Ecuador,Morocco,Refugees (incl. refugee-like situations),*
2017,Ecuador,The former Yugoslav Republic of Macedonia,Refugees (incl. refugee-like situations),14
2017,Ecuador,Mali,Refugees (incl. refugee-like situations),*
2017,Ecuador,Niger,Refugees (incl. refugee-like situations),*
2017,Ecuador,Nigeria,Refugees (incl. refugee-like situations),23
2017,Ecuador,Nicaragua,Refugees (incl. refugee-like situations),*
2017,Ecuador,Nepal,Refugees (incl. refugee-like situations),*
2017,Ecuador,Pakistan,Refugees (incl. refugee-like situations),25
2017,Ecuador,Panama,Refugees (incl. refugee-like situations),*
2017,Ecuador,Peru,Refugees (incl. refugee-like situations),80
2017,Ecuador,Paraguay,Refugees (incl. refugee-like situations),*
2017,Ecuador,Palestinian,Refugees (incl. refugee-like situations),7
2017,Ecuador,Russian Federation,Refugees (incl. refugee-like situations),30
2017,Ecuador,Saudi Arabia,Refugees (incl. refugee-like situations),*
2017,Ecuador,Sudan,Refugees (incl. refugee-like situations),*
2017,Ecuador,Sierra Leone,Refugees (incl. refugee-like situations),*
2017,Ecuador,Somalia,Refugees (incl. refugee-like situations),7
2017,Ecuador,Swaziland,Refugees (incl. refugee-like situations),*
2017,Ecuador,Syrian Arab Rep.,Refugees (incl. refugee-like situations),39
2017,Ecuador,Togo,Refugees (incl. refugee-like situations),*
2017,Ecuador,Turkey,Refugees (incl. refugee-like situations),*
2017,Ecuador,Uganda,Refugees (incl. refugee-like situations),*
2017,Ecuador,Ukraine,Refugees (incl. refugee-like situations),*
2017,Ecuador,Uruguay,Refugees (incl. refugee-like situations),*
2017,Ecuador,United States of America,Refugees (incl. refugee-like situations),6
2017,Ecuador,Uzbekistan,Refugees (incl. refugee-like situations),*
2017,Ecuador,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),5
2017,Ecuador,Viet Nam,Refugees (incl. refugee-like situations),*
2017,Ecuador,Stateless,Refugees (incl. refugee-like situations),*
2017,Ecuador,Various/Unknown,Refugees (incl. refugee-like situations),45026
2017,Ecuador,Zimbabwe,Refugees (incl. refugee-like situations),5
2017,Egypt,Afghanistan,Refugees (incl. refugee-like situations),17
2017,Egypt,Burundi,Refugees (incl. refugee-like situations),24
2017,Egypt,Benin,Refugees (incl. refugee-like situations),*
2017,Egypt,Burkina Faso,Refugees (incl. refugee-like situations),*
2017,Egypt,Central African Rep.,Refugees (incl. refugee-like situations),17
2017,Egypt,Côte d'Ivoire,Refugees (incl. refugee-like situations),113
2017,Egypt,Cameroon,Refugees (incl. refugee-like situations),5
2017,Egypt,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),40
2017,Egypt,Congo,Refugees (incl. refugee-like situations),5
2017,Egypt,Djibouti,Refugees (incl. refugee-like situations),*
2017,Egypt,Algeria,Refugees (incl. refugee-like situations),*
2017,Egypt,Eritrea,Refugees (incl. refugee-like situations),2727
2017,Egypt,Ethiopia,Refugees (incl. refugee-like situations),2676
2017,Egypt,Guinea,Refugees (incl. refugee-like situations),*
2017,Egypt,Iraq,Refugees (incl. refugee-like situations),4275
2017,Egypt,Jordan,Refugees (incl. refugee-like situations),*
2017,Egypt,Kenya,Refugees (incl. refugee-like situations),6
2017,Egypt,Morocco,Refugees (incl. refugee-like situations),*
2017,Egypt,Mali,Refugees (incl. refugee-like situations),9
2017,Egypt,Myanmar,Refugees (incl. refugee-like situations),*
2017,Egypt,Niger,Refugees (incl. refugee-like situations),*
2017,Egypt,Nigeria,Refugees (incl. refugee-like situations),17
2017,Egypt,Philippines,Refugees (incl. refugee-like situations),*
2017,Egypt,Palestinian,Refugees (incl. refugee-like situations),70018
2017,Egypt,Russian Federation,Refugees (incl. refugee-like situations),18
2017,Egypt,Sudan,Refugees (incl. refugee-like situations),17298
2017,Egypt,Sierra Leone,Refugees (incl. refugee-like situations),*
2017,Egypt,Somalia,Refugees (incl. refugee-like situations),3252
2017,Egypt,South Sudan,Refugees (incl. refugee-like situations),5247
2017,Egypt,Syrian Arab Rep.,Refugees (incl. refugee-like situations),126688
2017,Egypt,Chad,Refugees (incl. refugee-like situations),46
2017,Egypt,Tajikistan,Refugees (incl. refugee-like situations),12
2017,Egypt,Turkmenistan,Refugees (incl. refugee-like situations),*
2017,Egypt,Tunisia,Refugees (incl. refugee-like situations),*
2017,Egypt,United Rep. of Tanzania,Refugees (incl. refugee-like situations),*
2017,Egypt,Uganda,Refugees (incl. refugee-like situations),10
2017,Egypt,Uzbekistan,Refugees (incl. refugee-like situations),*
2017,Egypt,Stateless,Refugees (incl. refugee-like situations),*
2017,Egypt,Yemen,Refugees (incl. refugee-like situations),85
2017,Egypt,Zimbabwe,Refugees (incl. refugee-like situations),12
2017,Eritrea,Ethiopia,Refugees (incl. refugee-like situations),30
2017,Eritrea,Sudan,Refugees (incl. refugee-like situations),67
2017,Eritrea,Somalia,Refugees (incl. refugee-like situations),2286
2017,Eritrea,South Sudan,Refugees (incl. refugee-like situations),9
2017,Spain,Afghanistan,Refugees (incl. refugee-like situations),287
2017,Spain,Angola,Refugees (incl. refugee-like situations),10
2017,Spain,Albania,Refugees (incl. refugee-like situations),*
2017,Spain,Armenia,Refugees (incl. refugee-like situations),23
2017,Spain,Azerbaijan,Refugees (incl. refugee-like situations),32
2017,Spain,Burundi,Refugees (incl. refugee-like situations),*
2017,Spain,Benin,Refugees (incl. refugee-like situations),*
2017,Spain,Burkina Faso,Refugees (incl. refugee-like situations),*
2017,Spain,Bangladesh,Refugees (incl. refugee-like situations),20
2017,Spain,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),*
2017,Spain,Belarus,Refugees (incl. refugee-like situations),15
2017,Spain,Bolivia (Plurinational State of),Refugees (incl. refugee-like situations),9
2017,Spain,Bhutan,Refugees (incl. refugee-like situations),*
2017,Spain,Central African Rep.,Refugees (incl. refugee-like situations),42
2017,Spain,China,Refugees (incl. refugee-like situations),21
2017,Spain,Côte d'Ivoire,Refugees (incl. refugee-like situations),193
2017,Spain,Cameroon,Refugees (incl. refugee-like situations),47
2017,Spain,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),74
2017,Spain,Congo,Refugees (incl. refugee-like situations),10
2017,Spain,Colombia,Refugees (incl. refugee-like situations),179
2017,Spain,Cuba,Refugees (incl. refugee-like situations),894
2017,Spain,Dominican Rep.,Refugees (incl. refugee-like situations),*
2017,Spain,Algeria,Refugees (incl. refugee-like situations),46
2017,Spain,Egypt,Refugees (incl. refugee-like situations),14
2017,Spain,Eritrea,Refugees (incl. refugee-like situations),213
2017,Spain,Western Sahara,Refugees (incl. refugee-like situations),17
2017,Spain,Ethiopia,Refugees (incl. refugee-like situations),60
2017,Spain,Georgia,Refugees (incl. refugee-like situations),7
2017,Spain,Guinea,Refugees (incl. refugee-like situations),6
2017,Spain,Gambia,Refugees (incl. refugee-like situations),12
2017,Spain,Guinea-Bissau,Refugees (incl. refugee-like situations),*
2017,Spain,Equatorial Guinea,Refugees (incl. refugee-like situations),32
2017,Spain,Guatemala,Refugees (incl. refugee-like situations),12
2017,Spain,Honduras,Refugees (incl. refugee-like situations),35
2017,Spain,Haiti,Refugees (incl. refugee-like situations),21
2017,Spain,India,Refugees (incl. refugee-like situations),6
2017,Spain,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),88
2017,Spain,Iraq,Refugees (incl. refugee-like situations),319
2017,Spain,Jordan,Refugees (incl. refugee-like situations),29
2017,Spain,Kazakhstan,Refugees (incl. refugee-like situations),10
2017,Spain,Kyrgyzstan,Refugees (incl. refugee-like situations),6
2017,Spain,Lebanon,Refugees (incl. refugee-like situations),25
2017,Spain,Liberia,Refugees (incl. refugee-like situations),6
2017,Spain,Libya,Refugees (incl. refugee-like situations),24
2017,Spain,Sri Lanka,Refugees (incl. refugee-like situations),100
2017,Spain,Morocco,Refugees (incl. refugee-like situations),112
2017,Spain,Mexico,Refugees (incl. refugee-like situations),16
2017,Spain,The former Yugoslav Republic of Macedonia,Refugees (incl. refugee-like situations),*
2017,Spain,Mali,Refugees (incl. refugee-like situations),30
2017,Spain,Myanmar,Refugees (incl. refugee-like situations),5
2017,Spain,Mauritius,Refugees (incl. refugee-like situations),*
2017,Spain,Nigeria,Refugees (incl. refugee-like situations),47
2017,Spain,Nicaragua,Refugees (incl. refugee-like situations),11
2017,Spain,Nepal,Refugees (incl. refugee-like situations),*
2017,Spain,Pakistan,Refugees (incl. refugee-like situations),365
2017,Spain,Peru,Refugees (incl. refugee-like situations),*
2017,Spain,Dem. People's Rep. of Korea,Refugees (incl. refugee-like situations),*
2017,Spain,Palestinian,Refugees (incl. refugee-like situations),862
2017,Spain,Russian Federation,Refugees (incl. refugee-like situations),139
2017,Spain,Rwanda,Refugees (incl. refugee-like situations),*
2017,Spain,Sudan,Refugees (incl. refugee-like situations),54
2017,Spain,Senegal,Refugees (incl. refugee-like situations),6
2017,Spain,Sierra Leone,Refugees (incl. refugee-like situations),11
2017,Spain,El Salvador,Refugees (incl. refugee-like situations),7
2017,Spain,Somalia,Refugees (incl. refugee-like situations),601
2017,Spain,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),*
2017,Spain,Syrian Arab Rep.,Refugees (incl. refugee-like situations),11752
2017,Spain,Togo,Refugees (incl. refugee-like situations),14
2017,Spain,Tibetan,Refugees (incl. refugee-like situations),5
2017,Spain,Tajikistan,Refugees (incl. refugee-like situations),*
2017,Spain,Turkey,Refugees (incl. refugee-like situations),10
2017,Spain,Uganda,Refugees (incl. refugee-like situations),*
2017,Spain,Ukraine,Refugees (incl. refugee-like situations),368
2017,Spain,Uzbekistan,Refugees (incl. refugee-like situations),10
2017,Spain,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),44
2017,Spain,Viet Nam,Refugees (incl. refugee-like situations),*
2017,Spain,Stateless,Refugees (incl. refugee-like situations),24
2017,Spain,Various/Unknown,Refugees (incl. refugee-like situations),68
2017,Spain,Yemen,Refugees (incl. refugee-like situations),21
2017,Spain,Zimbabwe,Refugees (incl. refugee-like situations),*
2017,Estonia,Afghanistan,Refugees (incl. refugee-like situations),23
2017,Estonia,Armenia,Refugees (incl. refugee-like situations),*
2017,Estonia,Benin,Refugees (incl. refugee-like situations),*
2017,Estonia,Bangladesh,Refugees (incl. refugee-like situations),*
2017,Estonia,Belarus,Refugees (incl. refugee-like situations),7
2017,Estonia,Côte d'Ivoire,Refugees (incl. refugee-like situations),*
2017,Estonia,Algeria,Refugees (incl. refugee-like situations),*
2017,Estonia,Eritrea,Refugees (incl. refugee-like situations),5
2017,Estonia,Georgia,Refugees (incl. refugee-like situations),7
2017,Estonia,Gambia,Refugees (incl. refugee-like situations),*
2017,Estonia,Iraq,Refugees (incl. refugee-like situations),32
2017,Estonia,Sri Lanka,Refugees (incl. refugee-like situations),12
2017,Estonia,Nigeria,Refugees (incl. refugee-like situations),*
2017,Estonia,Pakistan,Refugees (incl. refugee-like situations),*
2017,Estonia,Palestinian,Refugees (incl. refugee-like situations),*
2017,Estonia,Russian Federation,Refugees (incl. refugee-like situations),26
2017,Estonia,Sudan,Refugees (incl. refugee-like situations),24
2017,Estonia,Somalia,Refugees (incl. refugee-like situations),*
2017,Estonia,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),5
2017,Estonia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),151
2017,Estonia,Tajikistan,Refugees (incl. refugee-like situations),*
2017,Estonia,Turkmenistan,Refugees (incl. refugee-like situations),*
2017,Estonia,Turkey,Refugees (incl. refugee-like situations),*
2017,Estonia,Ukraine,Refugees (incl. refugee-like situations),88
2017,Estonia,Stateless,Refugees (incl. refugee-like situations),*
2017,Estonia,Yemen,Refugees (incl. refugee-like situations),*
2017,Ethiopia,Afghanistan,Refugees (incl. refugee-like situations),*
2017,Ethiopia,Burundi,Refugees (incl. refugee-like situations),58
2017,Ethiopia,Côte d'Ivoire,Refugees (incl. refugee-like situations),*
2017,Ethiopia,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),530
2017,Ethiopia,Cuba,Refugees (incl. refugee-like situations),*
2017,Ethiopia,Djibouti,Refugees (incl. refugee-like situations),76
2017,Ethiopia,Egypt,Refugees (incl. refugee-like situations),*
2017,Ethiopia,Eritrea,Refugees (incl. refugee-like situations),164605
2017,Ethiopia,Iraq,Refugees (incl. refugee-like situations),10
2017,Ethiopia,Kenya,Refugees (incl. refugee-like situations),3459
2017,Ethiopia,Nigeria,Refugees (incl. refugee-like situations),*
2017,Ethiopia,Rwanda,Refugees (incl. refugee-like situations),10
2017,Ethiopia,Sudan,Refugees (incl. refugee-like situations),43892
2017,Ethiopia,Somalia,Refugees (incl. refugee-like situations),253779
2017,Ethiopia,South Sudan,Refugees (incl. refugee-like situations),421373
2017,Ethiopia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),9
2017,Ethiopia,Chad,Refugees (incl. refugee-like situations),*
2017,Ethiopia,United Rep. of Tanzania,Refugees (incl. refugee-like situations),*
2017,Ethiopia,Uganda,Refugees (incl. refugee-like situations),18
2017,Ethiopia,Yemen,Refugees (incl. refugee-like situations),1578
2017,Finland,Afghanistan,Refugees (incl. refugee-like situations),2571
2017,Finland,Angola,Refugees (incl. refugee-like situations),139
2017,Finland,Albania,Refugees (incl. refugee-like situations),*
2017,Finland,Armenia,Refugees (incl. refugee-like situations),*
2017,Finland,Azerbaijan,Refugees (incl. refugee-like situations),43
2017,Finland,Burundi,Refugees (incl. refugee-like situations),5
2017,Finland,Benin,Refugees (incl. refugee-like situations),*
2017,Finland,Burkina Faso,Refugees (incl. refugee-like situations),*
2017,Finland,Bangladesh,Refugees (incl. refugee-like situations),22
2017,Finland,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),*
2017,Finland,Belarus,Refugees (incl. refugee-like situations),13
2017,Finland,Bolivia (Plurinational State of),Refugees (incl. refugee-like situations),*
2017,Finland,Brazil,Refugees (incl. refugee-like situations),*
2017,Finland,Central African Rep.,Refugees (incl. refugee-like situations),*
2017,Finland,China,Refugees (incl. refugee-like situations),90
2017,Finland,Côte d'Ivoire,Refugees (incl. refugee-like situations),13
2017,Finland,Cameroon,Refugees (incl. refugee-like situations),90
2017,Finland,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),158
2017,Finland,Congo,Refugees (incl. refugee-like situations),10
2017,Finland,Colombia,Refugees (incl. refugee-like situations),*
2017,Finland,Cuba,Refugees (incl. refugee-like situations),5
2017,Finland,Djibouti,Refugees (incl. refugee-like situations),*
2017,Finland,Dominican Rep.,Refugees (incl. refugee-like situations),*
2017,Finland,Algeria,Refugees (incl. refugee-like situations),17
2017,Finland,Ecuador,Refugees (incl. refugee-like situations),*
2017,Finland,Egypt,Refugees (incl. refugee-like situations),13
2017,Finland,Eritrea,Refugees (incl. refugee-like situations),564
2017,Finland,Ethiopia,Refugees (incl. refugee-like situations),144
2017,Finland,Georgia,Refugees (incl. refugee-like situations),*
2017,Finland,Ghana,Refugees (incl. refugee-like situations),52
2017,Finland,Guinea,Refugees (incl. refugee-like situations),21
2017,Finland,Gambia,Refugees (incl. refugee-like situations),29
2017,Finland,Guinea-Bissau,Refugees (incl. refugee-like situations),*
2017,Finland,Guatemala,Refugees (incl. refugee-like situations),*
2017,Finland,Honduras,Refugees (incl. refugee-like situations),11
2017,Finland,Croatia,Refugees (incl. refugee-like situations),10
2017,Finland,Indonesia,Refugees (incl. refugee-like situations),*
2017,Finland,India,Refugees (incl. refugee-like situations),8
2017,Finland,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),877
2017,Finland,Iraq,Refugees (incl. refugee-like situations),7849
2017,Finland,Jordan,Refugees (incl. refugee-like situations),*
2017,Finland,Kazakhstan,Refugees (incl. refugee-like situations),13
2017,Finland,Kenya,Refugees (incl. refugee-like situations),13
2017,Finland,Kyrgyzstan,Refugees (incl. refugee-like situations),19
2017,Finland,Cambodia,Refugees (incl. refugee-like situations),*
2017,Finland,Lebanon,Refugees (incl. refugee-like situations),14
2017,Finland,Liberia,Refugees (incl. refugee-like situations),*
2017,Finland,Libya,Refugees (incl. refugee-like situations),27
2017,Finland,Sri Lanka,Refugees (incl. refugee-like situations),107
2017,Finland,Morocco,Refugees (incl. refugee-like situations),37
2017,Finland,Rep. of Moldova,Refugees (incl. refugee-like situations),6
2017,Finland,The former Yugoslav Republic of Macedonia,Refugees (incl. refugee-like situations),*
2017,Finland,Mali,Refugees (incl. refugee-like situations),6
2017,Finland,Myanmar,Refugees (incl. refugee-like situations),30
2017,Finland,Mongolia,Refugees (incl. refugee-like situations),*
2017,Finland,Mauritania,Refugees (incl. refugee-like situations),*
2017,Finland,Malawi,Refugees (incl. refugee-like situations),*
2017,Finland,Malaysia,Refugees (incl. refugee-like situations),*
2017,Finland,Niger,Refugees (incl. refugee-like situations),*
2017,Finland,Nigeria,Refugees (incl. refugee-like situations),161
2017,Finland,Nepal,Refugees (incl. refugee-like situations),*
2017,Finland,Pakistan,Refugees (incl. refugee-like situations),66
2017,Finland,Philippines,Refugees (incl. refugee-like situations),*
2017,Finland,Papua New Guinea,Refugees (incl. refugee-like situations),*
2017,Finland,Dem. People's Rep. of Korea,Refugees (incl. refugee-like situations),*
2017,Finland,Russian Federation,Refugees (incl. refugee-like situations),761
2017,Finland,Rwanda,Refugees (incl. refugee-like situations),24
2017,Finland,Saudi Arabia,Refugees (incl. refugee-like situations),*
2017,Finland,Sudan,Refugees (incl. refugee-like situations),38
2017,Finland,Senegal,Refugees (incl. refugee-like situations),*
2017,Finland,Sierra Leone,Refugees (incl. refugee-like situations),6
2017,Finland,El Salvador,Refugees (incl. refugee-like situations),10
2017,Finland,Somalia,Refugees (incl. refugee-like situations),3257
2017,Finland,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),96
2017,Finland,South Sudan,Refugees (incl. refugee-like situations),5
2017,Finland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2370
2017,Finland,Togo,Refugees (incl. refugee-like situations),5
2017,Finland,Thailand,Refugees (incl. refugee-like situations),*
2017,Finland,Tajikistan,Refugees (incl. refugee-like situations),*
2017,Finland,Turkmenistan,Refugees (incl. refugee-like situations),*
2017,Finland,Tunisia,Refugees (incl. refugee-like situations),*
2017,Finland,Turkey,Refugees (incl. refugee-like situations),145
2017,Finland,United Rep. of Tanzania,Refugees (incl. refugee-like situations),*
2017,Finland,Uganda,Refugees (incl. refugee-like situations),27
2017,Finland,Ukraine,Refugees (incl. refugee-like situations),10
2017,Finland,United States of America,Refugees (incl. refugee-like situations),*
2017,Finland,Uzbekistan,Refugees (incl. refugee-like situations),6
2017,Finland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),*
2017,Finland,Viet Nam,Refugees (incl. refugee-like situations),5
2017,Finland,Stateless,Refugees (incl. refugee-like situations),392
2017,Finland,Various/Unknown,Refugees (incl. refugee-like situations),164
2017,Finland,Yemen,Refugees (incl. refugee-like situations),139
2017,Finland,Zimbabwe,Refugees (incl. refugee-like situations),*
2017,Fiji,Afghanistan,Refugees (incl. refugee-like situations),7
2017,Fiji,Eritrea,Refugees (incl. refugee-like situations),*
2017,Fiji,Nigeria,Refugees (incl. refugee-like situations),*
2017,Fiji,Pakistan,Refugees (incl. refugee-like situations),*
2017,France,Afghanistan,Refugees (incl. refugee-like situations),13425
